region,postcode,place,county,Gravemaskin - belter,Lastebiler,Hjullastere,Traktorer,Maskinhengere,Gravemaskin - hjul,Minimaskiner < 5tonn,Dumpere,Borevogner,Knuseverk,Trekkvogner,Kompressorer,Containerbiler,Bulldosere,Veghøvler,Andre,Maskiner Totalt,Registrering år,Næring,Antall ansatte,Omsetning EUR,Name
Region Øst,2067,Jessheim,Akershus,5,4,2,0,1,0,1,1,0,1,0,0,1,1,0,2,19,"=""22.01.2011",Grunnarbeid (43120),44,10435996,Company 1
Region Nord,9540,Talvik,Finnmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=""31.03.2009",Detaljhandel med drivstoff til motorvogner (47300),2,4127092,Company 2
Seksjon Ressurs og miljø,2317,Hamar,Hedmark,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,7,12,"=""10.02.2004",Innsamling av ikke-farlig avfall (38110),45,15175605,Company 3
Region Vest,6963,Dale i Sunnfjord,Sogn og Fjordane,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,"=""18.04.2013",Annen spesialisert bygge- og anleggsvirksomhet (43990),1,446362,Company 4
Region Øst,2387,Brumunddal,Hedmark,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,"=""12.02.2005",Grunnarbeid (43120),5,928763,Company 5
Region Vest,6843,Skei i Jølster,Sogn og Fjordane,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,8,"=""01.07.2003",Grunnarbeid (43120),19,1751881,Company 6
Region Øst,1712,Grålum,Østfold,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"=""12.03.1995",Utleie av egen eller leid fast eiendom ellers (68209),2,11371,Company 7
Region Midt,6011,Ålesund,Møre og Romsdal,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,10,"=""19.02.1995",Grunnarbeid (43120),9,3323076,Company 8
Region Midt,6422,Molde,Møre og Romsdal,10,3,3,0,1,0,1,2,1,0,0,0,0,0,0,2,23,"=""18.02.1999",Grunnarbeid (43120),16,3136162,Company 9
Region Vest,6783,Stryn,Sogn og Fjordane,2,1,2,0,1,0,0,1,1,4,1,0,0,0,0,0,13,"=""20.02.1995",Bryting av stein til bygge- og anleggsvirksomhet (08111),2,162392,Company 10
Region Midt,6200,Stranda,Møre og Romsdal,7,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,15,"=""27.10.1997",Grunnarbeid (43120),12,2363769,Company 11
Region Nord,8215,Valnesfjord,Nordland,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,7,"=""10.12.2011",Bygging av vann- og kloakkanlegg (42210),4,658676,Company 12
Region Nord,9991,Båtsfjord,Finnmark,3,3,2,0,1,1,1,0,1,1,0,0,2,0,0,1,16,"=""20.02.1995",Bygging av veier og motorveier (42110),16,1491755,Company 13
Region Vest,6856,Sogndal,Sogn og Fjordane,3,0,1,1,0,0,0,3,0,0,0,0,0,0,1,1,10,"=""19.02.1995",Grunnarbeid (43120),4,,Company 14
Region Sørøst,3841,Flatdal,Telemark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 15
Region Nord,8200,Fauske,Nordland,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,"=""20.07.1998","Utvinning fra grus- og sandtak, og utvinning av leire og kaolin (08120)",10,1971826,Company 16
Region Øst,1555,Son,Akershus,4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,9,"=""20.02.1995",Annen spesialisert bygge- og anleggsvirksomhet (43990),2,360596,Company 17
Region Vest,5918,Frekhaug,Hordaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=""12.03.1995",Annen spesialisert bygge- og anleggsvirksomhet (43990),,,Company 18
Region Sørøst,3409,Tranby,Buskerud,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,,,,,Company 19
Region Nord,9276,Tromsø,Troms,7,2,3,0,1,1,1,2,0,0,1,0,0,0,0,0,18,"=""20.02.1995",Grunnarbeid (43120),17,3113533,Company 20
Region Sørøst,3267,Larvik,Vestfold,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,9,,,,,Company 21
Region Vest,5264,Garnes,Hordaland,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,15,"=""12.03.1995",Bygging av veier og motorveier (42110),12,3140879,Company 22
Region Vest,5853,Bergen,Hordaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=""19.02.1995",Annen spesialisert bygge- og anleggsvirksomhet (43990),4,1314861,Company 23
Region Sørøst,3683,Notodden,Telemark,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,"=""19.02.1995",Annen spesialisert bygge- og anleggsvirksomhet (43990),,,Company 24
Region Vest,5179,Godvik,Hordaland,5,1,1,0,0,3,2,1,3,1,0,0,0,1,0,2,20,"=""04.02.2002",Grunnarbeid (43120),37,9594552,Company 25
Region Nord,8301,Svolvær,Nordland,7,2,5,0,1,1,2,1,0,4,1,0,0,0,0,0,24,"=""11.12.1995",Grunnarbeid (43120),13,2479605,Company 26
Region Øst,2007,Kjeller,Akershus,4,4,1,0,0,0,3,0,0,0,0,0,0,0,0,19,31,"=""12.03.1995",Bygging av vann- og kloakkanlegg (42210),119,18494607,Company 27
Region Sørvest,4560,Vanse,Vest-Agder,30,11,7,6,2,0,2,10,0,0,2,0,0,0,0,8,78,,,,,Company 28
Region Vest,5258,Blomsterdalen,Hordaland,1,7,1,0,7,0,0,0,0,0,1,0,2,0,0,18,37,"=""19.02.1995",Utleie og leasing av bygge- og anleggsmaskiner og -utstyr (77320),17,4893768,Company 29
Region Midt,7670,Inderøy,Nord-Trøndelag,9,1,2,1,0,1,0,2,1,0,0,1,0,0,0,1,19,"=""19.01.1999",Grunnarbeid (43120),42,13484197,Company 30
Region Øst,2870,Dokka,Oppland,2,2,0,0,1,0,0,1,1,0,1,2,0,2,0,3,15,,,,,Company 31
Region Vest,5632,Omastrand,Hordaland,6,0,0,3,0,0,0,2,1,0,0,0,0,0,0,1,13,,,,,Company 32
Region Midt,7374,Røros,Sør-Trøndelag,4,7,5,1,2,2,0,0,0,3,0,0,3,0,0,5,32,"=""04.05.2006",Grunnarbeid (43120),24,3170492,Company 33
Region Nord,9020,Tromsdalen,Troms,2,2,2,0,0,0,1,0,1,0,0,2,0,0,0,1,11,"=""05.02.2008",Grunnarbeid (43120),9,636878,Company 34
Region Vest,5729,Modalen,Hordaland,7,2,1,1,2,1,0,2,0,0,0,0,0,0,0,0,16,"=""19.02.1995",Grunnarbeid (43120),11,1569720,Company 35
Seksjon Ressurs og miljø,6422,Molde,Møre og Romsdal,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,9,15,"=""20.02.1995",Sortering og bearbeiding av avfall for materialgjenvinning (38320),3,1575733,Company 36
Region Nord,8909,Brønnøysund,Nordland,5,2,1,0,1,1,0,1,2,0,1,0,0,0,0,0,14,"=""14.01.2008",Grunnarbeid (43120),12,1085053,Company 37
Region Midt,6022,Ålesund,Møre og Romsdal,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,6,"=""20.02.1995",Grunnarbeid (43120),12,39881,Company 38
Seksjon Ressurs og miljø,6002,Ålesund,Møre og Romsdal,1,0,1,0,0,1,0,0,0,0,0,0,10,0,0,9,22,"=""19.02.1995",Behandling og disponering av ikke-farlig avfall (38210),24,6134598,Company 39
Region Vest,6973,Sande i Sunnfjord,Sogn og Fjordane,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,6,,,,,Company 40
Region Sørvest,4580,Lyngdal,Vest-Agder,11,3,2,1,2,0,1,2,1,0,0,2,0,0,0,1,26,,,,,Company 41
Region Sørvest,4656,Hamresanden,Vest-Agder,5,2,2,0,1,1,1,3,0,0,0,0,0,0,0,0,15,,,,,Company 42
Region Sørvest,4641,Søgne,Vest-Agder,0,1,0,1,0,0,0,0,4,0,0,1,0,0,0,3,10,"=""16.09.1999",Grunnarbeid (43120),16,2942048,Company 43
Region Sørvest,4634,Kristiansand S,Vest-Agder,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,10,"=""19.02.1995",Godstransport på vei (49410),2,734431,Company 44
Region Sørvest,4636,Kristiansand,Vest-Agder,11,2,5,1,1,1,3,3,0,1,0,0,0,0,0,0,28,"=""12.03.1995",Oppføring av bygninger (41200),107,33570992,Company 45
Region Sørøst,3232,Sandefjord,Vestfold,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,9,,,,,Company 46
Region Øst,2019,Skedsmokorset,Akershus,0,7,0,0,0,0,0,0,0,0,5,0,1,0,0,27,40,"=""19.02.1995",Annen spesialisert bygge- og anleggsvirksomhet (43990),32,7200811,Company 47
Region Midt,7336,Meldal,Sør-Trøndelag,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,12,16,"=""07.06.2012",Grunnarbeid (43120),15,2157988,Company 48
Region Nord,9304,Vangsvik,Troms,4,3,3,0,1,1,1,0,0,1,2,0,1,0,1,3,21,"=""23.06.2011",Grunnarbeid (43120),18,1238320,Company 49
Region Midt,7038,Trondheim,Sør-Trøndelag,4,2,2,0,0,2,0,0,0,2,0,2,0,2,0,3,19,"=""21.10.2014",Grunnarbeid (43120),20,4391932,Company 50
Seksjon Ressurs og miljø,3517,Hønefoss,Buskerud,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,"=""20.02.1995",Tjenester tilknyttet skogbruk (02400),4,,Company 51
Region Øst,1166,Oslo,Oslo,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,Company 52
Region Vest,5943,Austrheim,Hordaland,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,7,"=""20.02.1995",Grunnarbeid (43120),,,Company 53
Region Sørøst,1351,Rud,Akershus,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,"=""19.02.1995",Grunnarbeid (43120),15,2379148,Company 54
Region Nord,9268,Tromsø,Troms,26,12,5,0,2,2,2,2,1,2,1,0,1,0,0,6,62,"=""20.02.1995",Grunnarbeid (43120),95,27278960,Company 55
Region Nord,9360,Bardu,Troms,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,11,"=""11.10.2007",Grunnarbeid (43120),7,786392,Company 56
Region Nord,8300,Svolvær,Nordland,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,8,"=""24.06.1999",Grunnarbeid (43120),3,283306,Company 57
Region Øst,2540,Tolga,Hedmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=""04.04.2009",Annen spesialisert bygge- og anleggsvirksomhet (43990),5,552084,Company 58
Region Nord,9517,Alta,Finnmark,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,"=""21.06.2012",Grunnarbeid (43120),4,775889,Company 59
Region Midt,6683,Vågland,Møre og Romsdal,6,4,0,0,1,0,1,1,2,0,1,2,0,0,0,5,23,"=""19.02.1995",Produksjon av løfte- og håndteringsutstyr ellers (28229),14,3454378,Company 60
Region Sørøst,3174,Revetal,Vestfold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 61
Region Nord,9811,Vadsø,Finnmark,2,5,3,0,2,0,0,0,0,3,3,0,1,0,0,4,23,,,,,Company 62
Region Øst,2670,Otta,Oppland,4,3,2,0,0,1,0,1,0,0,0,0,0,0,0,2,13,,,,,Company 63
Seksjon Ressurs og miljø,3629,Nore,Buskerud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,"=""20.02.1995",Tjenester tilknyttet skogbruk (02400),2,,Company 64
Seksjon Ressurs og miljø,2850,Lena,Oppland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,"=""19.02.1995",Avvirkning (02200),12,1710900,Company 65
Region Midt,6230,Sykkylven,Møre og Romsdal,6,5,3,0,1,0,1,1,0,4,0,0,0,0,0,1,22,"=""12.03.1995",Annen spesialisert bygge- og anleggsvirksomhet (43990),14,2060365,Company 66
Region Midt,6686,Valsøybotn,Møre og Romsdal,5,5,1,1,1,0,0,0,0,1,1,0,0,0,0,0,15,"=""20.02.1995",Grunnarbeid (43120),6,624016,Company 67
Region Vest,5936,Manger,Hordaland,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,Company 68
Region Øst,1655,Sellebakk,Østfold,15,8,5,1,2,2,3,4,2,2,0,0,0,0,1,0,45,"=""19.02.1995",Annen spesialisert bygge- og anleggsvirksomhet (43990),33,8763356,Company 69
Region Sørøst,3175,Ramnes,Vestfold,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,4,"=""10.02.2011",Grunnarbeid (43120),2,624970,Company 70
Region Vest,5283,Fotlandsvåg,Hordaland,0,18,1,0,5,1,0,0,0,0,2,0,0,0,0,4,31,,,,,Company 71
Region Sørøst,3055,Krokstadelva,Buskerud,3,4,4,0,0,2,0,0,0,1,0,0,0,0,0,0,14,,,,,Company 72
Seksjon Ressurs og miljø,2930,Bagn,Oppland,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,7,13,"=""25.09.2013",Tjenester tilknyttet skogbruk (02400),22,2287692,Company 73
Region Nord,9514,Alta,Finnmark,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,8,,,,,Company 74
Region Sørvest,4150,Rennesøy,Rogaland,13,10,1,1,1,2,0,3,0,2,1,0,2,1,0,1,38,"=""26.11.2005",Grunnarbeid (43120),25,4784975,Company 75
Seksjon Ressurs og miljø,3524,Nes i Ådal,Buskerud,4,1,0,2,1,1,0,0,0,1,0,0,0,0,0,6,16,"=""05.11.2007",Tjenester tilknyttet skogbruk (02400),7,450684,Company 76
Seksjon Ressurs og miljø,2360,Rudshøgda,Hedmark,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,8,13,"=""11.07.2005",Tjenester tilknyttet skogbruk (02400),16,2873569,Company 77
Region Midt,6019,Ålesund,Møre og Romsdal,12,1,1,0,0,0,1,2,2,0,0,0,0,1,0,2,22,,,,,Company 78
Region Sørøst,3540,Nesbyen,Buskerud,4,0,0,2,1,0,0,0,1,0,1,0,0,0,0,11,20,"=""06.03.1997",Grunnarbeid (43120),15,7188045,Company 79
Seksjon Ressurs og miljø,2120,Sagstua,Hedmark,3,1,0,2,2,0,0,0,0,0,1,0,0,0,0,10,19,"=""20.02.1995",Tjenester tilknyttet skogbruk (02400),10,1326966,Company 80
Region Sørøst,3241,Sandefjord,Vestfold,2,0,3,0,0,0,0,0,2,0,0,1,0,0,0,3,11,"=""22.06.2010",Hogging og bearbeiding av monument- og bygningsstein (23700),12,2504243,Company 81
Region Sørvest,4310,Hommersåk,Rogaland,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,Company 82
Region Vest,5852,Bergen,Hordaland,6,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,12,"=""12.03.1995",Grunnarbeid (43120),18,4037112,Company 83
Region Midt,7820,Spillum,Nord-Trøndelag,6,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,10,,,,,Company 84
Seksjon Ressurs og miljø,7221,Melhus,Sør-Trøndelag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"=""23.06.2008",Tjenester tilknyttet skogbruk (02400),3,221920,Company 85
Seksjon Ressurs og miljø,3629,Nore,Buskerud,2,7,2,2,0,1,0,1,0,2,0,0,0,0,0,2,19,"=""20.02.1995",Oppføring av bygninger (41200),14,885882,Company 86
Region Øst,2040,Kløfta,Akershus,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,8,"=""19.02.1995",Grunnarbeid (43120),4,415483,Company 87
Region Øst,2647,Sør-Fron,Oppland,4,0,1,3,1,0,3,0,0,1,0,0,0,1,0,2,16,"=""12.03.1995",Grunnarbeid (43120),8,1206812,Company 88
Region Vest,5783,Eidfjord,Hordaland,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,"=""20.02.1995",Grunnarbeid (43120),,,Company 89
Region Vest,5131,Nyborg,Hordaland,3,4,2,0,1,0,0,0,0,0,0,0,0,0,3,6,19,"=""19.02.1995",Annen spesialisert bygge- og anleggsvirksomhet (43990),15,2555488,Company 90
Region Sørøst,3721,Skien,Telemark,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,8,,,,,Company 91
Region Sørøst,3170,Sem,Vestfold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,"=""05.02.2005",Elektrisk installasjonsarbeid (43210),91,10811821,Company 92
Region Midt,7820,Spillum,Nord-Trøndelag,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,Company 93
Region Sørvest,4353,Klepp Stasjon,Rogaland,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,9,"=""19.02.1995",Annen spesialisert bygge- og anleggsvirksomhet (43990),5,89069,Company 94
Region Øst,2100,Skarnes,Hedmark,13,5,3,3,1,3,1,2,1,1,1,0,0,1,1,3,39,"=""19.02.1995",Grunnarbeid (43120),24,4921622,Company 95
Region Øst,1477,Fjellhamar,Akershus,9,6,2,1,2,0,0,0,0,0,0,0,0,1,0,0,21,,,,,Company 96
Region Øst,2000,Lillestrøm,Akershus,3,1,2,1,1,1,0,1,1,0,0,2,0,1,1,0,15,"=""19.02.1995",Grunnarbeid (43120),3,472123,Company 97
Region Øst,2900,Fagernes,Oppland,4,3,2,0,1,1,0,1,1,1,1,0,0,0,0,4,19,"=""07.10.1998",Grunnarbeid (43120),26,6611359,Company 98
Region Øst,2659,Dombås,Oppland,2,3,2,0,1,2,1,0,0,1,0,0,0,0,0,0,12,"=""31.03.2000",Bygging av andre anlegg ikke nevnt annet sted (42990),4,540753,Company 99
Region Sørøst,3241,Sandefjord,Vestfold,28,8,4,2,9,9,0,10,0,0,0,2,0,2,0,15,89,"=""05.01.1999",Grunnarbeid (43120),184,89581302,Company 100
Region Vest,5590,Etne,Hordaland,4,1,0,0,1,0,1,1,1,0,0,0,0,0,0,3,12,"=""16.06.2012",Grunnarbeid (43120),9,313202,Company 101
Region Midt,7398,Rennebu,Sør-Trøndelag,3,1,1,0,1,0,0,0,0,2,0,0,0,0,0,3,11,"=""03.07.2003",Grunnarbeid (43120),,41235,Company 102
Region Sørøst,3810,Gvarv,Telemark,5,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,12,"=""25.03.2010",Grunnarbeid (43120),24,4561913,Company 103
Region Nord,9103,Kvaløya,Troms,3,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,10,"=""21.09.2000",Grunnarbeid (43120),14,2948623,Company 104
Region Sørøst,3114,Tønsberg,Vestfold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 105
Region Midt,7750,Namdalseid,Nord-Trøndelag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 106
Region Øst,2640,Vinstra,Oppland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 107
Region Sørvest,4053,Ræge,Rogaland,2,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,9,"=""19.02.1995",Grunnarbeid (43120),3,,Company 108
Region Øst,2653,Vestre Gausdal,Oppland,3,4,2,2,1,0,0,0,0,1,0,0,0,0,0,5,18,"=""19.02.1995",Annen spesialisert bygge- og anleggsvirksomhet (43990),6,,Company 109
Region Øst,2640,Vinstra,Oppland,20,11,5,2,4,8,3,6,0,3,7,0,1,2,2,14,88,,,,,Company 110
Region Sørøst,3890,Vinje,Telemark,3,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,11,"=""07.06.2005",Grunnarbeid (43120),3,362449,Company 111
Region Nord,9800,Vadsø,Finnmark,3,2,1,0,0,1,4,0,0,0,0,1,0,0,0,0,12,"=""05.05.1995",Grunnarbeid (43120),38,5011684,Company 112
Region Sørøst,3880,Dalen,Telemark,7,3,0,1,1,0,0,1,2,0,0,0,0,0,0,0,15,"=""06.06.1996",Grunnarbeid (43120),5,460635,Company 113
Region Sørøst,3766,Sannidal,Telemark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 114
Region Sørøst,3158,Andebu,Vestfold,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,"=""27.06.2005",Grunnarbeid (43120),5,266332,Company 115
Region Sørøst,3580,Geilo,Buskerud,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,9,,,,,Company 116
Region Øst,1400,Ski,Akershus,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"=""20.02.1995",Bygging av vann- og kloakkanlegg (42210),5,884768,Company 117
Region Øst,1593,Svinndal,Østfold,7,2,2,0,2,1,1,1,0,0,0,0,1,0,0,4,21,"=""27.09.1995",Grunnarbeid (43120),9,2620324,Company 118
Region Øst,2680,Vågåmo,Oppland,4,4,4,2,1,2,1,0,0,0,0,0,0,0,1,0,19,"=""12.10.2002",Grunnarbeid (43120),24,5316542,Company 119
Region Sørøst,3678,Notodden,Telemark,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,"=""11.02.2016",Grunnarbeid (43120),7,3024148,Company 120
Region Nord,8590,Kjøpsvik,Nordland,3,4,2,0,1,0,1,0,0,1,1,0,0,0,0,0,13,"=""10.07.2012",Grunnarbeid (43120),3,392116,Company 121
Region Midt,6440,Elnesvågen,Møre og Romsdal,2,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,8,,,,,Company 122
Region Sørøst,3697,Tuddal,Telemark,5,3,2,3,2,1,1,2,2,1,1,0,0,0,0,1,24,"=""20.02.1995",Grunnarbeid (43120),11,1588236,Company 123
Region Nord,9811,Vadsø,Finnmark,4,1,2,1,1,1,1,0,0,0,0,0,0,1,0,0,12,"=""17.06.2002",Grunnarbeid (43120),5,1172600,Company 124
Region Vest,5582,Ølensvåg,Rogaland,3,0,0,2,3,0,0,0,1,0,0,0,0,0,0,1,10,,,,,Company 125
Region Sørøst,3729,Skien,Telemark,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,"=""18.06.2014",Grunnarbeid (43120),2,514880,Company 126
Region Midt,6140,Syvde,Møre og Romsdal,4,1,1,1,1,0,0,1,0,3,0,1,0,0,0,0,13,"=""20.02.1995",Grunnarbeid (43120),9,1352661,Company 127
Region Midt,6490,Eide,Møre og Romsdal,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,7,"=""19.02.1995","Utvinning fra grus- og sandtak, og utvinning av leire og kaolin (08120)",1,99097,Company 128
Region Midt,6067,Ulsteinvik,Møre og Romsdal,8,5,2,0,1,1,1,2,1,1,0,0,0,0,0,3,25,"=""20.02.1995",Bryting av stein til bygge- og anleggsvirksomhet (08111),8,1386340,Company 129
Region Sørvest,4160,Finnøy,Rogaland,6,2,0,1,2,2,1,1,1,0,1,1,0,0,0,1,19,,,,,Company 130
Region Øst,2640,Vinstra,Oppland,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,4,,,,,Company 131
Region Sørøst,3622,Svene,Buskerud,7,3,3,0,1,3,0,9,0,0,0,0,0,3,0,4,33,"=""04.04.2001",Annen spesialisert bygge- og anleggsvirksomhet (43990),24,3722576,Company 132
Region Vest,5136,Mjølkeråen,Hordaland,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"=""19.02.1995",Grunnarbeid (43120),6,818343,Company 133
Region Midt,6155,Ørsta,Møre og Romsdal,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,"=""20.02.1995",Grunnarbeid (43120),,,Company 134
Region Sørøst,3890,Vinje,Telemark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=""12.03.1995",Grunnarbeid (43120),3,152106,Company 135
Region Sørvest,4342,Undheim,Rogaland,6,3,0,2,2,1,2,1,0,0,0,0,0,0,0,0,17,"=""12.01.2005",Grunnarbeid (43120),17,2753130,Company 136
Region Vest,5380,Tælavåg,Hordaland,7,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,14,"=""23.03.1996",Annen spesialisert bygge- og anleggsvirksomhet (43990),13,2832527,Company 137
Region Nord,9392,Stonglandseidet,Troms,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,9,18,"=""12.03.1995",Bygging av vann- og kloakkanlegg (42210),6,1937419,Company 138
Region Vest,5600,Norheimsund,Hordaland,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,"=""02.11.2004",Oppføring av bygninger (41200),7,528068,Company 139
Region Sørvest,4389,Vikeså,Rogaland,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,10,"=""07.03.2007",Bygging av andre anlegg ikke nevnt annet sted (42990),3,366486,Company 140
Region Vest,5600,Norheimsund,Hordaland,5,0,2,2,0,0,1,0,0,0,0,1,0,0,0,2,13,"=""12.03.1995",Grunnarbeid (43120),9,1005093,Company 141
Region Vest,5550,Sveio,Hordaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 142
Region Vest,5154,Bønes,Hordaland,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"=""01.07.1998",Grunnarbeid (43120),1,202884,Company 143
Region Nord,9900,Kirkenes,Finnmark,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"=""10.02.1998",Grunnarbeid (43120),20,1646995,Company 144
Region Nord,8149,Neverdal,Nordland,4,0,1,1,0,1,2,1,0,0,0,0,0,0,0,3,13,"=""20.02.1995",Grunnarbeid (43120),,,Company 145
Region Midt,7670,Inderøy,Nord-Trøndelag,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,"=""12.05.2012",Grunnarbeid (43120),5,406585,Company 146
Region Nord,9300,Finnsnes,Troms,11,4,7,0,2,1,2,3,1,4,2,0,2,1,0,27,67,,,,,Company 147
Region Sørøst,3013,Drammen,Buskerud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,"=""17.11.2012",Utleie og leasing av bygge- og anleggsmaskiner og -utstyr (77320),10,3295277,Company 148
Region Vest,5960,Dalsøyra,Sogn og Fjordane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=""28.04.2012",Grunnarbeid (43120),5,658227,Company 149
Region Nord,8651,Mosjøen,Nordland,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,3,10,"=""25.06.2008",Annen spesialisert bygge- og anleggsvirksomhet (43990),13,737045,Company 150
Seksjon Ressurs og miljø,3239,Sandefjord,Vestfold,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,7,,,,,Company 151
Region Øst,2015,Leirsund,Akershus,3,1,3,3,0,1,2,0,0,0,0,0,0,0,0,1,14,"=""20.02.1995",Beplantning av hager og parkanlegg (81300),16,1914286,Company 152
Region Midt,7732,Steinkjer,Nord-Trøndelag,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,"=""12.03.1995",Grunnarbeid (43120),5,,Company 153
Region Vest,5550,Sveio,Hordaland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"=""19.02.1995",Grunnarbeid (43120),1,25880,Company 154
Region Øst,1650,Sellebakk,Østfold,11,9,1,2,2,2,0,0,2,1,0,0,1,0,1,3,35,"=""19.02.1995",Bygging av vann- og kloakkanlegg (42210),12,5116651,Company 155
Region Nord,8800,Sandnessjøen,Nordland,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,13,,,,,Company 156
Region Sørøst,3690,Hjartdal,Telemark,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,"=""20.02.1995",Grunnarbeid (43120),1,,Company 157
Region Sørøst,3405,Lier,Buskerud,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8,"=""17.09.1998",Grunnarbeid (43120),4,634580,Company 158
