region,postcode,place,county,Gravemaskin - belter,Lastebiler,Hjullastere,Traktorer,Maskinhengere,Gravemaskin - hjul,Minimaskiner < 5tonn,Dumpere,Borevogner,Knuseverk,Trekkvogner,Kompressorer,Containerbiler,Bulldosere,Veghøvler,Andre,Maskiner Totalt,Registrering år,Næring,Antall ansatte,Omsetning EUR,Name
Region Midt,7801,Namsos,Nord-Trøndelag,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,8,"=""18.09.2014",Geologiske undersøkelser (71122),14,2903885,Company 479
Region Sørvest,4790,Lillesand,Aust-Agder,35,14,6,1,2,3,5,12,2,2,0,0,0,0,1,4,87,"=""17.12.1996",Annen spesialisert bygge- og anleggsvirksomhet (43990),110,24883292,Company 480
Seksjon Ressurs og miljø,3570,Ål,Buskerud,8,8,1,1,0,0,1,0,10,0,0,14,0,0,0,8,51,"=""26.09.2008",Bygging av vann- og kloakkanlegg (42210),54,17368748,Company 481
Region Nord,8960,Velfjord,Nordland,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,5,11,"=""16.05.2007",Grunnarbeid (43120),2,177571,Company 482
Region Nord,9360,Bardu,Troms,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,9,,,,,Company 483
Region Midt,7491,Trondheim,Sør-Trøndelag,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,"=""20.02.1995",Annet installasjonsarbeid (43290),29,7883093,Company 484
Region Vest,5451,Valen,Hordaland,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,7,"=""13.02.1996",Grunnarbeid (43120),,,Company 485
Region Sørøst,3350,Prestfoss,Buskerud,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,"=""24.07.1998",Bygging av veier og motorveier (42110),4,675478,Company 486
Region Midt,7320,Fannrem,Sør-Trøndelag,2,0,0,1,0,0,0,0,4,0,0,1,0,0,0,1,9,"=""23.05.1996",Grunnarbeid (43120),10,704038,Company 487
Region Midt,6055,Godøy,Møre og Romsdal,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,1,12,"=""12.03.1995",Grunnarbeid (43120),6,715042,Company 488
Region Øst,1820,Spydeberg,Østfold,9,2,2,3,1,1,1,1,0,1,0,0,0,0,0,1,22,"=""12.11.2002",Grunnarbeid (43120),22,5101721,Company 489
Region Sørvest,4306,Sandnes,Rogaland,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,"=""31.01.2013",Grunnarbeid (43120),4,1334230,Company 490
Region Vest,6783,Stryn,Sogn og Fjordane,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,7,"=""20.03.2007",Grunnarbeid (43120),2,172227,Company 491
Seksjon Ressurs og miljø,8455,Stokmarknes,Nordland,1,2,0,0,1,0,1,0,0,0,0,2,0,0,0,2,9,,,,,Company 492
Seksjon Ressurs og miljø,7884,Sørli,Nord-Trøndelag,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,"=""29.01.2001",Tjenester tilknyttet skogbruk (02400),8,947825,Company 493
Region Nord,9419,Sørvik,Troms,1,3,0,4,0,1,2,0,0,0,0,0,3,0,0,3,17,,,,,Company 494
Region Vest,5178,Loddefjord,Hordaland,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,9,"=""03.01.1997",Utleie av egen eller leid fast eiendom ellers (68209),29,5052217,Company 495
Region Øst,2409,Elverum,Hedmark,2,0,1,2,1,0,0,0,0,1,0,0,0,0,1,5,13,,,,,Company 496
Region Vest,5443,Bømlo,Hordaland,4,0,1,2,1,1,1,1,1,0,0,0,0,0,1,7,20,"=""07.01.2000",Bygging av andre anlegg ikke nevnt annet sted (42990),22,2743526,Company 497
Seksjon Ressurs og miljø,6847,Vassenden,Sogn og Fjordane,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,"=""25.09.1999",Tjenester tilknyttet skogbruk (02400),1,375648,Company 498
Region Vest,5981,Masfjordnes,Hordaland,8,4,0,1,1,1,1,2,1,0,0,0,0,0,0,0,19,"=""13.03.2003",Grunnarbeid (43120),21,5052646,Company 499
Region Vest,5371,Skogsvåg,Hordaland,4,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,,,,,Company 500
Region Nord,9130,Hansnes,Troms,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,"=""18.07.2000",Grunnarbeid (43120),8,1113094,Company 501
Region Sørvest,4900,Tvedestrand,Aust-Agder,6,2,1,0,0,0,4,1,1,0,0,0,1,0,0,2,18,"=""27.03.2001",Oppføring av bygninger (41200),7,1504909,Company 502
Seksjon Ressurs og miljø,3570,Ål,Buskerud,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,"=""28.12.2006",Grunnarbeid (43120),14,2469512,Company 503
